Status,CRN,Course Code,Course Subject,Course Number,Course Title,Cross List Code,College,Department,Schedule Type,Credits,Days,Time,Primary Instructor,Secondary Instructors,Max Enrollment,Current Enrollment,Enrollment Available,Waitlist Count,Campus,Location,Seating,Dates
Open,11875,AAH 119-01,AAH,119,Hist of World Architecture I,,LS,HUMA,LEC,3,MW,1125 - 1215,"Hazard, Erin",,125,74,51,0,Mies,WH-113,267,22-AUG-22 to 10-DEC-22
Open,11876,AAH 119-D01,AAH,119,Discussion,,LS,HUMA,REC,0,M,0900 - 0950,,,25,7,18,0,Mies,SH-204,31,22-AUG-22 to 10-DEC-22
Closed,11877,AAH 119-D02,AAH,119,Discussion,,LS,HUMA,REC,0,M,1000 - 1050,,,25,25,0,0,Mies,PH-109,28,22-AUG-22 to 10-DEC-22
Open,11878,AAH 119-D03,AAH,119,Discussion,,LS,HUMA,REC,0,M,1000 - 1050,,,25,19,6,0,Mies,PS-213,27,22-AUG-22 to 10-DEC-22
Open,11879,AAH 119-D04,AAH,119,Discussion,,LS,HUMA,REC,0,W,0900 - 0950,,,25,3,22,0,Mies,SH-204,31,22-AUG-22 to 10-DEC-22
Open,14926,AAH 119-D05,AAH,119,Hist of World Architecture I,,LS,HUMA,REC,0,W,1000 - 1050,,,25,20,5,0,Mies,PH-109,28,22-AUG-22 to 10-DEC-22
Closed,10254,AAH 322-01,AAH,322,19th Cent Amer Art&Culture,,LS,HUMA,LEC,3,TR,1000 - 1115,"Dabbert, James",,33,33,0,1,Mies,HH-005,40,22-AUG-22 to 10-DEC-22
Open,11353,AAH 322-02,AAH,322,19th Cent Amer Art&Culture,,LS,HUMA,LEC,3,TR,1125 - 1240,"Dabbert, James",,33,32,1,0,Mies,HH-005,40,22-AUG-22 to 10-DEC-22
Open,15181,AAH 380-01,AAH,380,Birth of Modern Painting,,LS,HUMA,LEC,3,MW,1350 - 1505,"Hazard, Erin",,22,10,12,0,Mies,SH-202,31,22-AUG-22 to 10-DEC-22
Open,10429,ARCH 100-01,ARCH,100,Introduction to Architecture,,AR,ARCH,LEC,3,F,1125 - 1305,"Jacobs, Thomas",David Langdon,120,10,110,0,Mies,CR-003,90,22-AUG-22 to 10-DEC-22
Open,11708,ARCH 100-L01,ARCH,100,Laboratory,,AR,ARCH,LAB,0,T,1000 - 1240,"Jacobs, Thomas",David Langdon,60,8,52,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,11709,ARCH 100-L02,ARCH,100,Laboratory,,AR,ARCH,LAB,0,T,1350 - 1630,"Jacobs, Thomas",David Langdon,60,2,58,0,Mies,-,0,22-AUG-22 to 10-DEC-22
Open,12152,ARCH 107-01,ARCH,107,Design Communications I,,AR,ARCH,B,3,R,0835 - 1115,"Gros, Diana",,30,4,26,0,Mies,TN-110,43,22-AUG-22 to 10-DEC-22
Open,12153,ARCH 107-02,ARCH,107,Design Communications I,,AR,ARCH,B,3,R,1350 - 1630,"McPhillips, Lauren",,30,1,29,0,Mies,TN-110,43,22-AUG-22 to 10-DEC-22
Open,12154,ARCH 107-03,ARCH,107,Design Communications I,,AR,ARCH,B,3,R,0835 - 1115,,,30,1,29,0,Mies,CR-001,40,22-AUG-22 to 10-DEC-22
Open,12155,ARCH 107-04,ARCH,107,Design Communications I,,AR,ARCH,B,3,R,1350 - 1630,"Khan, Zahida",,30,6,24,0,Mies,CR-001,40,22-AUG-22 to 10-DEC-22
Open,10056,ARCH 113-100,ARCH,113,Arch Studio I: Elements,,AR,ARCH,STU,6,MWF,1350 - 1630,"Humer, Colleen",Alessandro Paradiso,120,7,113,0,Mies,CR-LSE,999,22-AUG-22 to 10-DEC-22
Open,10057,ARCH 113-L01,ARCH,113,Laboratory,,AR,ARCH,LAB,0,T,0835 - 1115,"Gillhouse, Michael",,17,1,16,0,Mies,MM-MEZZANINE,100,22-AUG-22 to 10-DEC-22
