Status,CRN,Course Code,Course Subject,Course Number,Course Title,Cross List Code,College,Department,Schedule Type,Credits,Days,Time,Primary Instructor,Secondary Instructors,Max Enrollment,Current Enrollment,Enrollment Available,Waitlist Count,Campus,Location,Seating,Dates
Open,10014,BIOL 100-01,BIOL,100,Intro to Profession,,LS,BIOL,LEC,2,R,0840 - 1020,"Menhart, Nicholas",,30,0,30,0,Mies,PS-152,48,22-AUG-22 to 10-DEC-22
Open,11189,BIOL 105-01,BIOL,105,Introduction to Biology,,LS,BIOL,LEC,3,TR,1515 - 1630,"Irving, Thomas",,50,0,50,0,Mies,PS-152,48,22-AUG-22 to 10-DEC-22
Open,10015,BIOL 107-01,BIOL,107,General Biol Lecture,,LS,BIOL,LEC,3,TR,1125 - 1240,"Spink, Kathryn",,49,0,49,0,Mies,PS-129,54,22-AUG-22 to 10-DEC-22
Open,10017,BIOL 109-L01,BIOL,109,General Biology Lab,,LS,BIOL,LAB,1,W,1350 - 1630,"Lin, Yuting",,24,0,24,0,Mies,PS-306,46,22-AUG-22 to 10-DEC-22
Open,14407,BIOL 109-L02,BIOL,109,General Biology Lab,,LS,BIOL,LAB,1,W,1000 - 1240,"Lin, Yuting",,24,0,24,0,Mies,PS-306,46,22-AUG-22 to 10-DEC-22
Open,10018,BIOL 214-01,BIOL,214,Genetics,4J,LS,BIOL,LEC,3,MW,1000 - 1115,"Cummings, Michael",,40,0,40,0,Mies,PS-240,48,22-AUG-22 to 10-DEC-22
Open,10019,BIOL 305-01,BIOL,305,Human Anatomy,,LS,BIOL,LEC,3,TR,1125 - 1240,"Bekyarova, Tanya",,20,0,20,0,Mies,PS-213,27,22-AUG-22 to 10-DEC-22
Open,10020,BIOL 401-01,BIOL,401,Introductory Biochemistry,,LS,BIOL,LEC,3,TR,0835 - 0950,"Goswami, Rajendra",,30,0,30,0,Mies,PS-240,48,22-AUG-22 to 10-DEC-22
Open,10021,BIOL 401-02,BIOL,401,Introductory Biochemistry,,LS,BIOL,LEC,3,, - ,"Goswami, Rajendra",,10,0,10,0,Internet,-,0,22-AUG-22 to 10-DEC-22
Open,10022,BIOL 414-01,BIOL,414,Genetics Engineering Scientist,4J,LS,BIOL,LEC,3,MW,1000 - 1115,"Cummings, Michael",,2,0,2,0,Mies,PS-240,48,22-AUG-22 to 10-DEC-22
